generation,genome,fitness,complete_lines,aggregate_height,holes,bumpiness
4,13,49680,0.411,-0.832,-0.6,-0.347
4,14,49940,0.828,0.091,-0.7,-0.128
4,15,50080,0.597,-0.459,-0.7,-0.295
4,16,50080,0.472,-0.699,-0.7,-0.429
4,17,50080,0.844,0.155,-0.77,-0.08
4,18,50280,0.787,0.075,-0.7,-0.158
4,19,50340,0.48,-0.831,-0.7,-0.302
4,20,50340,0.642,-0.383,-0.8,-0.287
4,21,50340,0.619,-0.379,-0.8,-0.292
4,22,50480,0.568,-0.35,-0.6,-0.225
4,23,50480,0.706,0.071,-0.6,-0.222
4,24,50480,0.577,-0.488,-0.6,-0.284
4,25,50480,0.552,-0.545,-0.6,-0.304
4,26,50540,0.443,-0.762,-0.5,-0.455
4,27,50540,0.531,-0.622,-0.5,-0.385
4,28,50680,0.749,0.12,-0.8,-0.104
4,29,50800,0.617,-0.444,-0.4,-0.146
4,30,50880,0.812,0.023,-0.6,-0.178
4,31,50940,0.814,0.156,-0.8,-0.115
4,32,51200,0.308,-0.95,-0.7,-0.5
4,33,51480,0.765,0.099,-0.6,-0.114
4,34,51680,0.741,0.093,-0.7,-0.192
4,35,51680,0.54,-0.574,-0.7,-0.292
4,36,51740,0.435,-0.802,-0.6,-0.286
4,37,51740,0.488,-0.684,-0.8,-0.424
4,38,51940,0.601,-0.414,-0.7,-0.35
4,39,51940,0.4,-0.895,-0.7,-0.372
4,40,51940,0.491,-0.759,-0.6,-0.459
4,41,52080,0.597,-0.514,-0.064,-0.103
4,42,52140,0.656,-0.358,-0.5,-0.192
4,43,52140,0.431,-0.898,-0.8,-0.292
4,44,52280,0.781,-0.015,-0.6,-0.086
4,45,52400,0.597,-0.384,-0.7,-0.223
4,46,52540,0.458,-0.828,-0.7,-0.352
4,47,52680,0.614,-0.484,0,-0.2
4,48,52680,0.685,-0.202,-0.7,-0.25
4,49,52740,0.411,-0.872,-0.7,-0.518
4,50,52740,0.785,0.134,-0.7,-0.1
4,51,52940,0.598,-0.446,-0.8,-0.316
4,52,52940,0.662,-0.356,-0.8,-0.23
4,53,52940,0.658,-0.4,-0.8,-0.185
4,54,53280,0.486,-0.645,-0.7,-0.341
4,55,53340,0.701,0.116,-0.6,-0.184
4,56,53480,0.844,0.155,-0.8,-0.08
4,57,53880,0.403,-0.861,-0.5,-0.498
4,58,54140,0.345,-0.856,-0.7,-0.35
4,59,54140,0.368,-0.942,-0.8,-0.541
4,60,54200,0.576,-0.435,-0.8,-0.207
4,61,54280,0.429,-0.915,-0.8,-0.346
4,62,54280,0.625,-0.394,-0.8,-0.294
4,63,54540,0.423,-0.967,-0.889,-0.511
4,64,54540,0.764,-0.03,-0.8,-0.18
4,65,54740,0.438,-0.736,-0.6,-0.456
4,66,54880,0.422,-0.86,-0.8,-0.502
4,67,55080,0.502,-0.658,-0.8,-0.402
4,68,55340,0.828,0.091,-0.7,-0.128
4,69,55480,0.585,-0.44,-0.8,-0.252
4,70,56000,0.395,-0.7,-0.8,-0.281
4,71,56400,0.553,-0.468,-0.7,-0.279
4,72,56600,0.505,-0.731,-0.8,-0.326
4,73,56600,0.371,-0.94,-0.8,-0.446
4,74,57080,0.595,-0.502,-0.7,-0.243
4,75,57140,0.388,-0.534,-0.7,-0.406
4,76,58540,0.517,-0.666,-0.8,-0.304
4,77,59740,0.433,-0.866,-0.7,-0.393
4,78,59880,0.418,-0.919,-0.7,-0.289
4,79,60280,0.437,-0.882,-0.8,-0.504
4,80,61280,0.717,-0.19,-0.4,-0.092
4,81,62080,0.823,0.148,-0.8,-0.142
4,82,62280,0.786,0.134,-0.8,-0.123
4,83,62940,0.531,-0.648,-0.8,-0.288
4,84,63000,0.804,0.165,-0.8,-0.088
4,85,63200,0.485,-0.916,-0.824,-0.283
4,86,63880,0.453,-0.943,-0.9,-0.402
4,87,64540,0.795,0.137,-0.8,-0.092
4,88,64540,0.448,-0.811,-0.7,-0.498
4,89,64880,0.427,-0.931,-0.8,-0.398
4,90,64880,0.406,-0.94,-0.9,-0.508
4,91,64900,0.597,-0.472,-0.8,-0.282
4,92,65140,0.603,-0.418,-0.8,-0.307
4,93,65280,0.46,-0.827,-0.6,-0.25
4,94,66040,0.382,-0.9,-0.7,-0.562
